sku,name,spec,qty,unit_close,unit_retail,in_budget,source,note
AL-ANGLE-CUT-KIT,标准角铝下料与钻孔预算,按新版实际角铝截面/长度/两面开口模板询价；不采用CNC型腔,1,80.0,160.0,True,加工预算上限目标，尚未取得店铺报价,超出后必须重新算预算；不能把平板激光报价当成角铝裁切报价
SHIPPING-RESERVE,分店运费预留,最终以中国购物车合计替换,1,40.0,60.0,True,预算预留，非报价,
STS3215-C018,飞特 STS3215 12V 30kg 总线舵机,12V C018，原厂规格铜齿，磁编码，双轴，55g,20,90.0,109.0,True,飞特厂家店目标价 / 微雪旗舰零售 ¥109（https://www.waveshare.net/shop/ST3215-Servo.htm）,禁止 7.4V C001。淘宝 ¥99 先核 SKU。G0 必须截图 12V
Raspberry-Pi-4B-2GB,Raspberry Pi 4B 2GB,85×56 mm，官方 Φ2.7 安装孔、58×49 孔距,1,400.0,450.0,True,机械图 datasheets.raspberrypi.com；¥400/450 是预算预留，尚无中国购物车证据,因资料完整优先改选 Pi 4B；需在 G0 锁定中国商家 SKU 和到手价
WS-BUS-ADAPT-A,微雪总线舵机驱动板 A,SKU25514，42×33 mm；只作通信接口，舵机电源另行分配,1,27.0,27.0,True,微雪官网/旗舰 2026-09-12,
Waveshare-33122-OV2735-A,微雪 OV2735 2MP USB Camera (A),25×25 PCB，21×21孔距，Φ14镜头、96°视场；USB SH1.0 4P,1,79.0,79.0,True,微雪/淘宝工业模组,
MPU6050,MPU6050 模块,I2C，后续可换 ICM-42688,1,8.0,42.0,True,淘宝模块 / ICM-42688 模块 ¥42,零售账用 ICM 价
USB-MIC,USB 免驱麦克风,CM6533 类,1,12.0,20.0,True,淘宝,
PAM8403-SPK,PAM8403 + 4Ω 3W 腔体喇叭,5V 供电,1,15.0,18.0,True,淘宝,
Gens-Ace-GEA223S25T3GT,格氏 G-Tech 3S 2200mAh 25C 电池,107×33×22 mm、169 g；原厂多接口适配组件，XT60适配另留空间,1,95.0,110.0,True,格氏旗舰 2026-09,可加买一只作换电，换电费另计
DFRobot-DFR0831,DFRobot DFR0831 5V 降压模块,输入7–24V，5V 0–4A；5A需散热；43.5×20.3×5.5mm；需3A持续热测,1,20.0,20.0,True,DFRobot中国官网 https://www.dfrobot.com.cn/goods-3061.html；2026-09-13标价¥20,
PWR-HARNESS,XT60 星形配电 + 硅胶线 + 保险 + 电容,左腿/右腿/上身三路,1,55.0,70.0,True,航模店,
SD-32G,闪迪 32GB 高速 TF,正品,1,45.0,55.0,True,京东自营,
HORN-25T,飞特 25T 金属圆舵盘,C018 原厂第7页：PCD Φ14 4×M3，主盘总厚4.5，后盘总厚3.1,20,4.5,6.0,True,飞特配件/淘宝,不可打印
AL-15-KIT,6061-T6 1.5mm 激光全套,新开口框架和夹片；按 manufacturing 清单平板下料，无折弯,1,160.0,280.0,True,淘宝 6061 激光 单件数元，整套估,旧P01–P10图样已废止；下单前按新版逐件DXF询价
AL-20-FOOT,6061-T6 2.0mm 足板 ×2,120×70,1,35.0,50.0,True,同激光店,新版足板有圆角减重窗口，另含颈板、电池托盘；只用新版逐件DXF
TUBE-20x10x1,6061 矩形管 20×10×1.0,胸架分段横梁；长度和钻孔按制造清单，不沿用旧12根芯管,1,28.0,35.0,True,铝管店,
SCREW-KIT,M2/M2.5/M3内六角、普通六角螺母与隔离柱,M2/M2.5/M3、M3长夹紧螺栓与螺母；实际数量/长度由逐件清单汇总,1,50.0,70.0,True,紧固件店,1.5mm 铝禁止攻丝承力
PETG-1KG,PETG 耗材 1kg,不透明哑光白，2.4 mm壁；实际切片另核支撑与用料,1,48.0,55.0,True,拓竹/eSUN 旗舰,
TPU-05,TPU 95A 0.5kg,足底 + 线护套,1,38.0,45.0,True,拓竹/eSUN,
INSERT-M3,M3 热熔铜螺母,当前壳体改用捕获螺母/铜柱；本项不采购,0,15.0,18.0,True,淘宝,
NYLON,尼龙柱/垫片杂项,SBC 减振,1,12.0,15.0,True,淘宝,
SKYRC-B6NEO,SKYRC B6neo 平衡充,实验室工具，不计 ¥3200,1,155.0,155.0,False,航模旗舰,禁止克隆 B6 充比赛电池
